Early Morning,2 glass Luke Warm Water,,,,,,,,,,,,,
Morning Supp.,"Ashwagandha (max 500 gm), Vitamin E (evion 400), Shilajeet (Max 500gm - upto 1000mg)",,,,,,,,,,,,1 glass Milk - 240 ml,
Afternoon,Black Coffee,,,,,,,,,,,,,
Post Dinner,"Sea Code Liver Oil, Vitamin D3 - upto 5000 lu",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Masala-1,"HImalayan Pink Salt (3gm), Ginger, Garlic, Green Chilli, Jeera, Turmeric, Dhaniya Powder, Kitchen King Masala",,,,,,,,,,,,,
Masala-2,"HImalayan Pink Salt (3gm), Oregano, Chilli flakes, Black Pepper (Chaat Masala)",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,every month 1 week same diet from remission last 3/4/5 week's,,,,,,,,,,,,,
AMLYCURE DS,1-2 hrs before breakfast and dinner for liver ,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Diet - 6,Mashed Potato Avocado Sandw.,,,Oatmeal Chia Pudding,,,Mango Protein Shake,,,Paneer Veggie Pasta,,,,
,Masala 2,,,Oats,40gm,,Whey Isolate,50gm,,Masala 2,,,,
,Onion,50gm,,Milk,1 glass,,Almond Milk,1 glass,,Onion,80gm,,,
,Yellow BP,50gm,,Chia Seeds,8gm,,Mango,100gm,,Tomato,80gm,,,
,Potato,80gm,,Almonds,20gm,,,,,Paneer,100gm,,,
,Avocado,50gm,,Banana,120gm,,,,,Broccoli,100gm,,,
,Butter,12gm,,Red Apple,120gm,,,,,Carrot,100gm,,,
,BB Toast,4,,Honey,12gm,,,,,French Beans,80gm,,,
,Ketchup,12gm,,,,,,,,Red BP,40gm,,,
,Cheese Slice,2,,,,,,,,Yellow BP,40gm,,,
,,,,,,,,,,Pasta Penne,55gm,,,
,,,,,,,,,,Olive Oil ,14gm,,,
,,,,,,,,,,Veggie Mayo,30gm,,,
,,,,,,,,,,Pizza Pasta Sauce,12gm,,,
,,,,,,,,,,,,,,
Diet - 7,Egg Cheese Wrap,,,Mix Fruit Salad,,,Berry Protein Shake,,,Paneer Aalo Fried Rice,,,Post Dinner,
,Masala 2,,,Cantaloupe,180gm,,Whey Isolate,50gm,,Masala 1,,,Chocolate Ice Cream,100gm
,Onion,40gm,,Red Apple,140gm,,Milk,1 glass,,Onion,80gm,,,
